timestamp,dpid,port,tx_bytes,rx_bytes
1743239564.974757,4,4,10319915,12748
1743239564.9747648,4,2,5186658,7136375
1743239564.9747717,4,5,10320257,11842
1743239564.9747782,4,3,10319877,13954
1743239568.1605399,2,4294967294,0,0
1743239568.1605732,2,1,5199366,7117396
1743239568.1605887,2,4,10333764,15044
1743239568.1605937,2,2,5223448,7074624
1743239568.1605978,2,3,10278392,89450
1743239568.6506095,3,4294967294,0,0
1743239568.6506538,3,4,11098122,4338
1743239568.650665,3,1,6907012,6845324
1743239568.650673,3,2,7621449,5628091
1743239568.6506805,3,3,7681321,5584004
1743239571.7053578,1,4294967294,0,0
1743239571.7054238,1,1,7662657,5591267
1743239571.7054353,1,2,6844202,6907012
1743239571.705443,1,3,7688697,5571589
1743239606.2409132,4,4294967294,0,0
1743239606.240943,4,1,5571589,7688955
1743239606.240951,4,4,11109825,14320
1743239606.2409563,4,2,5584090,7682615
1743239606.2409613,4,5,11110151,13428
1743239606.240966,4,3,11109053,14684
1743239609.3496807,2,4294967294,0,0
1743239609.3497102,2,1,5591353,7663865
1743239609.349719,2,4,11122408,15214
1743239609.3497233,2,2,5628091,7621449
1743239609.3497267,2,3,11063562,95180
1743239609.3556547,3,4294967294,0,0
1743239609.3556774,3,4,11921141,4422
1743239609.355683,3,1,7434183,7352303
1743239609.355687,3,2,8179293,6043719
1743239609.3556902,3,3,8243394,5995009
1743239610.93392,1,4294967294,0,0
1743239610.9339437,1,1,8233765,6002066
1743239610.9339495,1,2,7351271,7434183
1743239610.933953,1,3,8254058,5986910
1743239616.657652,4,4294967294,0,0
1743239616.6576762,4,1,5986910,8254402
1743239616.6576817,4,4,11931553,14488
1743239616.6576853,4,2,5995095,8244434
1743239616.6576889,4,5,11931981,14026
1743239616.6576922,4,3,11931899,15194
1743239618.8784854,3,4294967294,0,0
1743239618.8785098,3,4,12680584,4590
1743239618.8785152,3,1,7911187,7822218
1743239618.878519,3,2,8696524,6430120
1743239618.8785226,3,3,8769095,6375063
1743239619.194634,2,4294967294,0,0
1743239619.1946583,2,1,6002152,8234797
1743239619.1946642,2,4,11943301,16698
1743239619.1946683,2,2,6043719,8179723
1743239619.1946716,2,3,11879467,102036
1743239620.7185535,1,4294967294,0,0
1743239620.7185748,1,1,8763306,6379595
1743239620.7185876,1,2,7821182,7911187
1743239620.7185917,1,3,8784510,6369669
1743239626.1288092,4,4294967294,0,0
1743239626.1288366,4,1,6369755,8785632
1743239626.1288424,4,4,12691832,15856
1743239626.1288464,4,2,6375063,8770045
1743239626.1288502,4,5,12692220,14432
1743239626.1288538,4,3,12691288,16562
1743239626.1750877,3,4294967294,0,0
1743239626.1751156,3,4,13255854,4884
1743239626.175125,3,1,904405024,8173241
1743239626.1751316,3,2,9090185,6719530
1743239626.1751354,3,3,9168203,902799655
1743239627.6409385,3,4294967294,0,0
1743239627.6409645,3,4,13388759,4926
1743239627.64097,3,1,2780048610,8255222
1743239627.6409736,3,2,9181002,6787417
1743239627.6409767,3,3,9261060,2778573611
1743239627.8067942,3,4294967294,0,0
1743239627.8068204,3,4,13402401,4926
1743239627.806828,3,1,4590159308,8263277
1743239627.8068342,3,2,9190294,6794010
1743239627.8068392,3,3,9270746,4588726634
1743239627.9321752,1,4294967294,0,0
1743239627.9322057,1,1,9163376,6668371
1743239627.932214,1,2,8171943,904125430
1743239627.9322205,1,3,905042567,6661633
1743239628.779402,2,4294967294,0,0
1743239628.7794428,2,1,6379681,8763736
1743239628.7794523,2,4,12701083,17730
1743239628.7794588,2,2,6430120,8696872
1743239628.7794645,2,3,12634583,108484
1743239629.467042,1,4294967294,0,0
1743239629.467064,1,1,9256898,6736644
1743239629.4670718,1,2,8255222,2800664660
1743239629.467076,1,3,2801663422,6727316
1743239629.6670115,1,4294967294,0,0
1743239629.6670349,1,1,9267662,6744227
1743239629.66704,1,2,8263277,4607639300
1743239629.6670432,1,3,4608632549,6733950
1743239629.7948177,3,4294967294,0,0
1743239629.7948425,3,4,13549934,4926
1743239629.7948499,3,1,5911518378,8354889
1743239629.7948554,3,2,9292339,6868860
1743239629.7948587,3,3,9374717,5909875400
1743239629.800392,1,4294967294,0,0
1743239629.80041,1,1,9370129,6815694
1743239629.8004155,1,2,8354889,5911518980
1743239629.8004196,1,3,5912458582,6806761
1743239629.8009439,1,4294967294,0,0
1743239629.8009539,1,1,9936322,7219472
1743239629.8009584,1,2,8855731,5912024673
1743239629.8009617,1,3,5913024841,7208110
1743239629.8015337,1,4294967294,0,0
1743239629.8015428,1,1,10490532,7613407
1743239629.801547,1,2,9345867,5912523927
1743239629.8015509,1,3,5913576423,7604001
1743239631.737906,3,4294967294,0,0
1743239631.737928,3,4,14361512,5052
1743239631.7379355,3,1,5912024673,8856161
1743239631.7379415,3,2,9846333,7282000
1743239631.737946,3,3,9937752,5910286849
1743239631.7383447,3,4294967294,0,0
1743239631.7383547,3,4,15158060,5220
1743239631.7383618,3,1,5912523927,9346625
1743239631.738368,3,2,10386843,7693177
1743239631.738374,3,3,10491210,5910693212
1743239632.3120408,4,4294967294,0,0
1743239632.3120632,4,1,6661719,905152761
1743239632.3120694,4,4,13264594,16412
1743239632.3120732,4,2,902631267,9168203
1743239632.3120768,4,5,13265654,16232
1743239632.3120804,4,3,13264420,17802
1743239633.0789356,4,4294967294,0,0
1743239633.0789578,4,1,6727070,2765292346
1743239633.0789635,4,4,13397203,16884
1743239633.0789673,4,2,2763651661,9260974
1743239633.078971,4,5,13398263,16232
1743239633.0789745,4,3,13397029,17844
1743239633.1616828,4,4294967294,0,0
1743239633.1617062,4,1,6733778,4578280997
1743239633.161714,4,4,13411028,16884
1743239633.16172,4,2,4575946346,9270660
1743239633.1617253,4,5,13412088,16232
1743239633.16173,4,3,13410854,17844
1743239633.3919432,2,4294967294,0,0
1743239633.3919811,2,1,6668371,9163806
1743239633.391991,2,4,13275663,17856
1743239633.3919978,2,2,6719530,9090443
1743239633.3920033,2,3,13206411,115664
1743239634.3348851,4,4294967294,0,0
1743239634.3349159,4,1,6806761,5912459270
1743239634.3349264,4,4,13556863,17570
1743239634.3349319,4,2,5909875486,9375647
1743239634.334936,4,5,13557837,16274
1743239634.3349395,4,3,13556689,17844
1743239634.4897277,2,4294967294,0,0
1743239634.48975,2,1,6736386,9256898
1743239634.4897556,2,4,13409931,18114
1743239634.4897592,2,2,6786471,9180916
1743239634.4897625,2,3,13339991,116696
1743239634.541358,2,4294967294,0,0
1743239634.5413852,2,1,6743449,9267662
1743239634.541394,2,4,13424017,18114
1743239634.541401,2,2,6793580,9190208
1743239634.5414047,2,3,13353991,116868
1743239635.202701,1,4294967294,0,0
1743239635.2027342,1,1,11429456,8153873
1743239635.2027447,1,2,10462642,5912875854
1743239635.2027495,1,3,5914511478,8152844
1743239635.2123032,3,4294967294,0,0
1743239635.2123296,3,4,15730575,5430
1743239635.212339,3,1,5912875854,10462642
1743239635.2123463,3,2,10784679,8248035
1743239635.2123501,3,3,10886757,5911231469
1743239635.6165717,2,4294967294,0,0
1743239635.616623,2,1,6815694,9371333
1743239635.6166296,2,4,13570198,18156
1743239635.616633,2,2,6868860,9293183
1743239635.6166358,2,3,13498968,117298
1743239635.9511454,2,4294967294,0,0
1743239635.9511693,2,1,7219472,9937492
1743239635.9511757,2,4,14381526,19228
1743239635.9511812,2,2,7282086,9847197
1743239635.9511838,2,3,14307244,124434
1743239635.9514022,2,4294967294,0,0
1743239635.9514115,2,1,7613407,10490962
1743239635.9514155,2,4,15180450,21546
